"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-06-19 02:33:00,75.290822222,-0.005898889,276.143575338,276.415406462,276.563536469,0.897036709,3.929486853,3.406779051,-0.950754444,2.276070000,0.420235576,1.734842222,46.619004444,27.887730000,-2.317901111,-6.302737778,-0.015685556,0.005898889
2026-06-19 02:18:00,56.592225556,-0.000936667,276.313705346,276.608348694,276.750036478,0.897025598,3.922909075,3.408517940,-0.953402222,2.276277778,0.421366687,1.645746667,28.009220000,27.890661111,-2.372965556,-6.305911111,0.030548889,0.000936667
2026-06-19 02:03:00,67.821495556,-0.004416667,276.088546447,276.363002015,276.411368684,0.889922264,3.911123519,3.390752383,-0.951822222,2.263825556,0.422917798,1.695527778,39.118714444,27.959075556,-2.339062222,-6.303910000,0.003287778,0.004416667
2026-06-19 01:48:00,63.917571111,-0.003342222,276.118624226,276.399446462,276.406045351,0.894083376,3.922795742,3.381607938,-0.952086667,2.265821111,0.422741131,1.661883333,35.247202222,27.960572222,-2.363545556,-6.304783333,0.013447778,0.003342222
2026-06-19 01:33:00,62.846533333,-0.003061111,275.963165330,276.180229785,276.271958678,0.900326709,3.926514631,3.362675715,-0.951002222,2.261914444,0.423020020,1.653026667,34.163566667,27.980942222,-2.371614444,-6.304650000,0.016191111,0.003061111
2026-06-19 01:18:00,71.091693333,-0.005298889,275.721616429,275.956800885,275.982321997,0.886865598,3.896979074,3.315731269,-0.949076667,2.235031111,0.427068909,1.697962222,42.309870000,28.032937778,-2.337444444,-6.304055556,-0.003745556,0.005298889
2026-06-19 01:03:00,55.394280000,-0.000027778,275.841144213,275.999079776,276.052038667,0.895131154,3.930520187,3.326740158,-0.951733333,2.250078889,0.425467798,1.610845556,26.690918889,28.044248889,-2.396850000,-6.306591111,0.033524444,0.000027778
2026-06-19 00:48:00,77.996108889,-0.007271111,275.432588638,275.616286424,275.698387539,0.896536709,3.894290185,3.298612379,-0.949561111,2.229692222,0.428434465,1.729847778,47.991425556,29.224396667,-2.313711111,-6.304312222,-0.019237778,0.007271111
2026-06-19 00:33:00,60.225886667,-0.001725556,276.821792037,276.962920933,276.971743155,0.897997820,3.888065740,3.332493492,-0.951753333,2.248454444,0.425463354,1.623347778,22.232697778,37.321594444,-2.380134444,-6.306227778,0.035674444,0.001725556
2026-06-19 00:18:00,76.430910000,-0.007887778,276.548500913,276.648569807,276.696518698,0.900735598,3.901924630,3.400256828,-0.948490000,2.269400000,0.420213353,1.750216667,47.977986667,27.651196667,-2.299317778,-6.302397778,-0.020287778,0.007887778
2026-06-19 00:03:00,50.032905556,0.001107778,276.749157589,276.814226481,276.953962043,0.899473376,3.913493519,3.353167937,-0.951573333,2.260911111,0.423338909,1.625637778,22.411408889,26.947432222,-2.376634444,-6.306256667,0.041973333,-0.001107778
2026-06-18 23:48:00,81.789402222,-0.008714444,276.178468673,276.280494234,276.383849794,0.907574488,3.901496852,3.381750161,-0.947785556,2.263225556,0.421282242,1.756656667,48.021181111,32.959350000,-2.292890000,-6.302916667,-0.023625556,0.008714444
2026-06-18 23:33:00,67.025858889,-0.002861111,275.955921996,276.067092001,276.170994229,0.892431153,3.909010186,3.363886826,-0.947148889,2.254427778,0.422506687,1.665910000,29.984391111,36.322706667,-2.344963333,-6.305870000,0.017674444,0.002861111
2026-06-18 23:18:00,72.383143333,-0.005934444,276.608586472,276.662044252,276.793609814,0.893407820,3.913831297,3.355047937,-0.947982222,2.258615556,0.422091131,1.719108889,42.318981111,29.293035556,-2.320541111,-6.303193333,-0.006871111,0.005934444
2026-06-18 23:03:00,67.211267778,-0.004531111,277.021388713,277.072816494,277.208758722,0.896442265,3.941600187,3.372402382,-0.948677778,2.275302222,0.419421131,1.699156667,38.241843333,28.218945556,-2.336391111,-6.304082222,0.004627778,0.004531111
2026-06-18 22:48:00,68.918507778,-0.005268889,276.429633130,276.453909798,276.583193137,0.893745598,3.902766852,3.337599047,-0.948555556,2.249131111,0.424094465,1.675523333,32.857283333,35.334256667,-2.341427778,-6.304828889,0.012000000,0.005268889
